Начальная точка: ( 1 , 1 )
Новая точка: ( 0.9125 , -1.115 )
Новая точка: ( 0.725 , -0.9 )
Новая точка: ( 0.9025 , -0.87 )
Новая точка: ( 0.8325 , -0.8925 )
Новая точка: ( 0.675 , -0.83 )
Новая точка: ( 0.7825 , -0.6475 )
Новая точка: ( 0.9175 , -0.7825 )
Новая точка: ( 0.78 , -1.105 )
Новая точка: ( 1.0325 , -0.8675 )
Новая точка: ( 0.91 , -1.0225 )
Новая точка: ( 0.72 , -0.725 )
Новая точка: ( 0.7025 , -0.965 )
Новая точка: ( 1.0075 , -0.7975 )
Новая точка: ( 0.9075 , -0.9025 )
Новая точка: ( 1.04 , -1.0475 )
Новая точка: ( 0.7775 , -0.9625 )
Новая точка: ( 1.01 , -0.685 )
Новая точка: ( 0.7775 , -0.7375 )
Новая точка: ( 0.98 , -1.105 )
Новая точка: ( 0.705 , -0.67 )
Новая точка: ( 0.995 , -0.9475 )
Новая точка: ( 1.075 , -0.7 )
Новая точка: ( 0.6075 , -0.6525 )
Новая точка: ( 0.9675 , -0.695 )
Новая точка: ( 1.005 , -0.6775 )
Новая точка: ( 0.8125 , -1.1225 )
Новая точка: ( 1.0675 , -0.965 )
Новая точка: ( 0.745 , -1.09 )
Новая точка: ( 0.7275 , -0.9275 )
Новая точка: ( 0.96 , -0.8525 )
Новая точка: ( 0.9525 , -0.965 )
Новая точка: ( 0.8375 , -0.9375 )
Новая точка: ( 0.71 , -1.075 )
Новая точка: ( 0.8275 , -0.9175 )
Новая точка: ( 0.895 , -1.12 )
Новая точка: ( 1.005 , -0.8875 )
Новая точка: ( 0.9825 , -0.7875 )
Новая точка: ( 0.785 , -0.6925 )
Новая точка: ( 0.9125 , -1.0975 )
Новая точка: ( 0.9525 , -0.9 )
Новая точка: ( 0.5875 , -0.935 )
Новая точка: ( 0.615 , -0.7425 )
Новая точка: ( 0.65 , -1.1025 )
Новая точка: ( 0.66 , -1.0225 )
Новая точка: ( 0.7975 , -1.04625 )
Новая точка: ( 0.86625 , -0.88375 )
Новая точка: ( 0.83625 , -0.895 )
Новая точка: ( 0.73125 , -0.82125 )
Новая точка: ( 0.92625 , -0.89375 )
Новая точка: ( 0.8975 , -0.91375 )
Новая точка: ( 0.83 , -0.83 )
Новая точка: ( 0.9075 , -1.0025 )
Новая точка: ( 0.71875 , -0.94875 )
Новая точка: ( 0.85875 , -0.895 )
Новая точка: ( 0.925 , -0.97375 )
Новая точка: ( 0.745 , -1.0075 )
Новая точка: ( 0.87375 , -0.92625 )
Новая точка: ( 0.90125 , -0.855 )
Новая точка: ( 0.8675 , -0.84875 )
Новая точка: ( 0.85875 , -0.84875 )
Новая точка: ( 0.83625 , -0.9675 )
Новая точка: ( 0.835 , -0.98 )
Новая точка: ( 0.945 , -1.02625 )
Новая точка: ( 0.75125 , -1.00125 )
Новая точка: ( 0.74875 , -1.02125 )
Новая точка: ( 0.7975 , -1.05125 )
Новая точка: ( 0.895 , -0.8525 )
Новая точка: ( 0.745 , -0.955 )
Новая точка: ( 0.90375 , -1.025 )
Новая точка: ( 0.8775 , -1.04875 )
Новая точка: ( 0.725 , -1.02375 )
Новая точка: ( 0.78 , -1.04 )
Новая точка: ( 0.95875 , -0.83625 )
Новая точка: ( 0.87625 , -0.97125 )
Новая точка: ( 0.785 , -0.9025 )
Новая точка: ( 0.78 , -0.83375 )
Новая точка: ( 0.84875 , -0.885 )
Новая точка: ( 0.95 , -0.9725 )
Новая точка: ( 0.76125 , -0.9875 )
Новая точка: ( 0.96 , -0.895 )
Новая точка: ( 0.80125 , -0.81625 )
Новая точка: ( 0.89875 , -1.025 )
Новая точка: ( 0.77375 , -1.00625 )
Новая точка: ( 0.8325 , -0.9275 )
Новая точка: ( 0.83625 , -1.01875 )
Новая точка: ( 0.84125 , -1 )
Новая точка: ( 0.83 , -0.8225 )
Новая точка: ( 0.77375 , -1.0425 )
Новая точка: ( 0.8125 , -1.045 )
Новая точка: ( 0.7275 , -0.91 )
Новая точка: ( 0.8825 , -0.92375 )
Новая точка: ( 0.835 , -1.025 )
Новая точка: ( 0.8125 , -0.93 )
Новая точка: ( 0.8275 , -0.8525 )
Новая точка: ( 0.88375 , -1.00375 )
Новая точка: ( 0.888125 , -0.925 )
Новая точка: ( 0.835 , -0.914375 )
Новая точка: ( 0.77 , -0.9125 )
Новая точка: ( 0.83 , -0.951875 )
Новая точка: ( 0.7725 , -0.874375 )
Новая точка: ( 0.77625 , -0.901875 )
Новая точка: ( 0.795625 , -0.98375 )
Новая точка: ( 0.80375 , -0.891875 )
Новая точка: ( 0.854375 , -0.900625 )
Новая точка: ( 0.839375 , -0.88 )
Новая точка: ( 0.850625 , -0.905 )
Новая точка: ( 0.83875 , -0.965 )
Новая точка: ( 0.86 , -0.939375 )
Новая точка: ( 0.83875 , -0.899375 )
Новая точка: ( 0.8625 , -0.939375 )
Новая точка: ( 0.780625 , -0.874375 )
Новая точка: ( 0.789375 , -0.945625 )
Новая точка: ( 0.88125 , -0.960625 )
Новая точка: ( 0.80875 , -0.865625 )
Новая точка: ( 0.894375 , -0.971875 )
Новая точка: ( 0.811875 , -0.875625 )
Новая точка: ( 0.77 , -0.95 )
Новая точка: ( 0.816875 , -0.928125 )
Новая точка: ( 0.798125 , -0.87875 )
Новая точка: ( 0.810625 , -0.91875 )
Новая точка: ( 0.885625 , -0.964375 )
Новая точка: ( 0.89 , -0.909375 )
Новая точка: ( 0.8125 , -0.88 )
Новая точка: ( 0.8475 , -0.98125 )
Новая точка: ( 0.8125 , -0.940625 )
Новая точка: ( 0.815625 , -0.890625 )
Новая точка: ( 0.844375 , -0.865625 )
Новая точка: ( 0.82375 , -0.956875 )
Новая точка: ( 0.811875 , -0.96125 )
Новая точка: ( 0.8225 , -0.885625 )
Новая точка: ( 0.8775 , -0.90375 )
Новая точка: ( 0.87375 , -0.92125 )
Новая точка: ( 0.800625 , -0.9 )
Новая точка: ( 0.77375 , -0.98375 )
Новая точка: ( 0.834375 , -0.973125 )
Новая точка: ( 0.836875 , -0.96375 )
Новая точка: ( 0.83125 , -0.875 )
Новая точка: ( 0.803125 , -0.985 )
Новая точка: ( 0.8225 , -0.98625 )
Новая точка: ( 0.78 , -0.91875 )
Новая точка: ( 0.8575 , -0.925625 )
Новая точка: ( 0.83375 , -0.97625 )
Новая точка: ( 0.8225 , -0.92875 )
Новая точка: ( 0.83 , -0.89 )
Новая точка: ( 0.858125 , -0.965625 )
Новая точка: ( 0.860312 , -0.92625 )
Новая точка: ( 0.83375 , -0.920937 )
Новая точка: ( 0.80125 , -0.92 )
Новая точка: ( 0.83125 , -0.939687 )
Новая точка: ( 0.8025 , -0.900937 )
Новая точка: ( 0.804375 , -0.914687 )
Новая точка: ( 0.814062 , -0.955625 )
Новая точка: ( 0.818125 , -0.909687 )
Новая точка: ( 0.843437 , -0.914062 )
Новая точка: ( 0.835937 , -0.90375 )
Новая точка: ( 0.841562 , -0.91625 )
Новая точка: ( 0.835625 , -0.94625 )
Новая точка: ( 0.84625 , -0.933437 )
Новая точка: ( 0.835625 , -0.913437 )
Новая точка: ( 0.8475 , -0.933437 )
Новая точка: ( 0.806562 , -0.900937 )
Новая точка: ( 0.810937 , -0.936562 )
Новая точка: ( 0.856875 , -0.944062 )
Новая точка: ( 0.820625 , -0.896562 )
Новая точка: ( 0.863437 , -0.949687 )
Новая точка: ( 0.822187 , -0.901562 )
Новая точка: ( 0.80125 , -0.93875 )
Новая точка: ( 0.824687 , -0.927812 )
Новая точка: ( 0.815312 , -0.903125 )
Новая точка: ( 0.821562 , -0.923125 )
Новая точка: ( 0.859062 , -0.945937 )
Новая точка: ( 0.86125 , -0.918437 )
Новая точка: ( 0.8225 , -0.90375 )
Новая точка: ( 0.84 , -0.954375 )
Новая точка: ( 0.8225 , -0.934062 )
Новая точка: ( 0.824062 , -0.909062 )
Новая точка: ( 0.838437 , -0.896562 )
Новая точка: ( 0.828125 , -0.942187 )
Новая точка: ( 0.822187 , -0.944375 )
Новая точка: ( 0.8275 , -0.906562 )
Новая точка: ( 0.855 , -0.915625 )
Новая точка: ( 0.853125 , -0.924375 )
Новая точка: ( 0.816562 , -0.91375 )
Новая точка: ( 0.803125 , -0.955625 )
Новая точка: ( 0.833437 , -0.950312 )
Новая точка: ( 0.834687 , -0.945625 )
Новая точка: ( 0.831875 , -0.90125 )
Новая точка: ( 0.817812 , -0.95625 )
Новая точка: ( 0.8275 , -0.956875 )
Новая точка: ( 0.80625 , -0.923125 )
Новая точка: ( 0.845 , -0.926562 )
Новая точка: ( 0.833125 , -0.951875 )
Новая точка: ( 0.8275 , -0.928125 )
Новая точка: ( 0.83125 , -0.90875 )
Новая точка: ( 0.845312 , -0.946562 )
Новая точка: ( 0.846406 , -0.926875 )
Новая точка: ( 0.833125 , -0.924219 )
Новая точка: ( 0.816875 , -0.92375 )
Новая точка: ( 0.831875 , -0.933594 )
Новая точка: ( 0.8175 , -0.914219 )
Новая точка: ( 0.818437 , -0.921094 )
Новая точка: ( 0.823281 , -0.941562 )
Новая точка: ( 0.825312 , -0.918594 )
Новая точка: ( 0.837969 , -0.920781 )
Новая точка: ( 0.834219 , -0.915625 )
Новая точка: ( 0.837031 , -0.921875 )
Новая точка: ( 0.834062 , -0.936875 )
Новая точка: ( 0.839375 , -0.930469 )
Новая точка: ( 0.841719 , -0.926875 )
Новая точка: ( 0.843906 , -0.938437 )
Новая точка: ( 0.851875 , -0.932187 )
Новая точка: ( 0.824375 , -0.915625 )
Новая точка: ( 0.846875 , -0.939219 )
Новая точка: ( 0.8375 , -0.924531 )
Новая точка: ( 0.834062 , -0.92875 )
Новая точка: ( 0.828281 , -0.927031 )
Новая точка: ( 0.845312 , -0.945 )
Новая точка: ( 0.845312 , -0.933594 )
Новая точка: ( 0.847812 , -0.926406 )
Новая точка: ( 0.846875 , -0.945625 )
Новая точка: ( 0.831875 , -0.936719 )
Новая точка: ( 0.853594 , -0.923906 )
Новая точка: ( 0.833281 , -0.929219 )
Новая точка: ( 0.842969 , -0.926875 )
Новая точка: ( 0.836875 , -0.9175 )
Новая точка: ( 0.841094 , -0.920156 )
Новая точка: ( 0.849687 , -0.92125 )
Новая точка: ( 0.854531 , -0.930625 )
Новая точка: ( 0.844531 , -0.934844 )
Новая точка: ( 0.834062 , -0.943437 )
Новая точка: ( 0.850312 , -0.938594 )
Новая точка: ( 0.824531 , -0.926719 )
Новая точка: ( 0.829375 , -0.926562 )
Новая точка: ( 0.852812 , -0.937344 )
Новая точка: ( 0.832969 , -0.919375 )
Новая точка: ( 0.832969 , -0.941094 )
Новая точка: ( 0.846875 , -0.919062 )
Новая точка: ( 0.848125 , -0.924844 )
Новая точка: ( 0.853281 , -0.932969 )
Новая точка: ( 0.84875 , -0.922031 )
Новая точка: ( 0.842031 , -0.928906 )
Новая точка: ( 0.827969 , -0.923125 )
Новая точка: ( 0.835781 , -0.945469 )
Новая точка: ( 0.826875 , -0.918594 )
Новая точка: ( 0.839531 , -0.921094 )
Новая точка: ( 0.852031 , -0.932812 )

Найден локальный экстремум в точке ( 0.839375 , -0.930469 )
Значение функции в этой точке: -3.42722
